code,name
3297,Turnbull Thomson Park
3298,Fordell
3301,Halcombe
3304,Kawhia
3308,Saint Andrews
3309,New Caledonia
3310,Vanuatu
3311,Rarotonga
3312,Fiji
3314,Mayfield
3315,Confidential
3687,Catlins Surrounds
3688,Central Hawkes Bay Coastal
3689,Central Hawkes Bay Country
3690,Central Hutt
3692,Coromandel Coast
3694,Dargaville Surrounds
3696,East Otago
3697,Gisborne Country
3698,Gore Surrounds
3701,Hastings Country
3708,Kenepuru Sound
3709,Moana / Lake Brunner
3710,Lake Hawea
3712,Marlborough Country
3713,Marlborough Sounds
3715,Mt Cook
3721,North Otago
3722,North Otago Surrounds
3725,Otamatea Surrounds
3726,Other Islands
3728,Pelorus Sounds
3731,Riversdale Beach
3732,Riverton & Surrounds
3734,Ruapehu-King Country Surrounds
3735,Ruatangata
3736,Russell Surrounds
3739,St Andrews
3740,Stratford Surrounds
3743,Wairoa Country
3746,West Otago Surrounds
3747,Westland Area
3748,Westland Surrounds
3750,Whakatane Surrounds
3752,Winton Surrounds
3753,Wyndham Surrounds
3754,Kerikeri Surrounds
3755,North Hokianga
3761,Oakura Coast
3779,Hibiscus Coast Surrounds
3781,Tonga
3783,Onerahi
3784,Glenbervie
3785,Okara
3786,Parahaki
3787,Kamo
3788,Whakapara
3789,Maunu
3790,Mangapai and Surrounds
3791,Whangarei Heads
3792,Annesbrook
3793,Hira
3794,Queen Charlotte Sound
3795,Okiwi Bay
3796,Anakiwa and Surrounds
3797,Picton
3798,Waikawa
3799,Witherlea
3800,Springlands
3801,Fairhall
3802,Havelock
3803,Rai Valley
3804,Rapaura
3805,Riverlands
3806,Seddon
3807,Wairau Valley
3808,Glenorchy
3810,Closeburn
3811,Fernhill/Sunshine Bay
3812,Jacks Point
3816,Frankton
3818,Cardrona
3820,Hawea Flat
3821,Treble Cone/Mount Aspiring
3822,Linton
3823,Hukerenui and Surrounds
3824,Mangonui
3825,Taupo Bay/Totara North
3826,Awanui
3827,Houhora
3828,Herekino
3829,Opononi
3830,Rawene
